Tick,Reward,TotalReward,Loss,Epsilon
1580,-3,-5450,12.74753189086914,0.9255177807880356
1590,-3,-5483,16.81275177001953,0.9250551260045103
1600,-3,-5518,13.854564666748047,0.9245927024963352
1610,-8,-5573,28.425207138061523,0.9241305101478984
1620,-3,-5606,19.26854705810547,0.9236685488436461
1630,-1,-5630,19.076370239257812,0.9232068184680824
1640,-3,-5655,18.90892791748047,0.9227453189057686
1650,-3,-5684,16.92398452758789,0.9222840500413241
1660,4,-5718,16.63348388671875,0.921823011759426
1670,-3,-5752,20.476726531982422,0.921362203944809
1680,-3,-5790,47.746124267578125,0.9209016264822655
1690,-3,-5825,24.76919937133789,0.9204412792566451
1700,-3,-5855,29.83164405822754,0.9199811621528552
1710,-3,-5896,10.410022735595703,0.919521275055861
1720,-1,-5930,17.135791778564453,0.9190616178506849
1730,-3,-5970,28.694896697998047,0.9186021904224071
1740,-1,-5988,38.662841796875,0.9181429926561646
1750,-3,-6015,100.71092224121094,0.9176840244371524
1760,-3,-6061,80.08143615722656,0.9172252856506224
1770,-3,-6096,49.298683166503906,0.9167667761818846
1780,-3,-6126,28.47294807434082,0.9163084959163058
1790,-3,-6159,15.014141082763672,0.9158504447393103
1800,-3,-6192,20.515092849731445,0.9153926225363793
10,-3,-4524,16.552806854248047,0.9149350291930516
20,-3,-4551,15.128891944885254,0.914477664594923
30,-3,-4583,10.513715744018555,0.9140205286276468
40,-3,-4612,69.09968566894531,0.9135636211769332
50,-8,-4643,20.642906188964844,0.91310694212855
60,-3,-4684,17.784944534301758,0.9126504913683214
70,-3,-4714,13.617759704589844,0.9121942687821291
80,-3,-4749,15.566740036010742,0.9117382742559116
90,-3,-4777,17.276540756225586,0.9112825076756644
100,-3,-4801,82.8592300415039,0.9108269689274407
110,-1,-4768,38.14006042480469,0.9103716578973498
120,-6,-4796,119.39555358886719,0.9099165744715585
130,-3,-4827,27.736602783203125,0.9094617185362898
140,-13,-4880,76.96236419677734,0.9090070899778243
150,-3,-4930,63.29480743408203,0.9085526886824992
160,-3,-4960,34.17146301269531,0.9080985145367084
170,-3,-4998,26.228857040405273,0.9076445674269027
180,-3,-5022,83.76220703125,0.9071908472395899
190,-1,-5036,28.238964080810547,0.9067373538613339
200,-3,-5054,353.57379150390625,0.9062840871787559
210,-3,-5024,43.16947937011719,0.9058310470785331
220,-8,-5079,151.9038543701172,0.9053782334474006
